fecha_moldeo,fecha_ensayo,probeta_id,edad_dias,resistencia_mpa,tipo_hormigon,lote,temperatura_curado,humedad_curado,observaciones
2024-01-15,2024-01-22,P001,7,18.5,H25,L001,22.3,85,Normal
2024-01-15,2024-01-22,P002,7,19.2,H25,L001,22.3,85,Normal
2024-01-15,2024-01-22,P003,7,17.8,H25,L001,22.3,85,Normal
2024-01-15,2024-02-12,P004,28,25.8,H25,L001,21.5,82,Normal
2024-01-15,2024-02-12,P005,28,26.3,H25,L001,21.5,82,Normal
2024-01-15,2024-02-12,P006,28,24.9,H25,L001,21.5,82,Fisura superficial
2024-01-18,2024-01-25,P007,7,20.1,H30,L002,23.1,87,Normal
2024-01-18,2024-01-25,P008,7,21.3,H30,L002,23.1,87,Normal
2024-01-18,2024-01-25,P009,7,19.7,H30,L002,23.1,87,Normal
2024-01-18,2024-02-15,P010,28,31.2,H30,L002,22.8,84,Normal
2024-01-18,2024-02-15,P011,28,30.5,H30,L002,22.8,84,Normal
2024-01-18,2024-02-15,P012,28,32.1,H30,L002,22.8,84,Excelente
2024-01-22,2024-01-29,P013,7,17.2,H25,L003,20.5,79,Baja temperatura
2024-01-22,2024-01-29,P014,7,16.8,H25,L003,20.5,79,Baja temperatura
2024-01-22,2024-01-29,P015,7,17.5,H25,L003,20.5,79,Baja temperatura
2024-01-22,2024-02-19,P016,28,23.4,H25,L003,21.2,81,Recuperado
2024-01-22,2024-02-19,P017,28,24.1,H25,L003,21.2,81,Recuperado
2024-01-22,2024-02-19,P018,28,23.8,H25,L003,21.2,81,Recuperado
2024-01-25,2024-02-01,P019,7,22.4,H35,L004,24.2,88,Normal
2024-01-25,2024-02-01,P020,7,23.1,H35,L004,24.2,88,Normal
2024-01-25,2024-02-01,P021,7,22.8,H35,L004,24.2,88,Normal
2024-01-25,2024-02-22,P022,28,36.2,H35,L004,23.5,86,Normal
2024-01-25,2024-02-22,P023,28,35.8,H35,L004,23.5,86,Normal
2024-01-25,2024-02-22,P024,28,37.1,H35,L004,23.5,86,Excelente
2024-01-29,2024-02-05,P025,7,19.8,H25,L005,22.8,83,Normal
2024-01-29,2024-02-05,P026,7,20.3,H25,L005,22.8,83,Normal
2024-01-29,2024-02-05,P027,7,19.5,H25,L005,22.8,83,Normal
2024-01-29,2024-02-26,P028,28,26.7,H25,L005,22.1,82,Normal
2024-01-29,2024-02-26,P029,28,27.2,H25,L005,22.1,82,Normal
2024-01-29,2024-02-26,P030,28,26.4,H25,L005,22.1,82,Normal
2024-02-02,2024-02-09,P031,7,15.3,H25,L006,19.8,76,Problema mezcla
2024-02-02,2024-02-09,P032,7,14.9,H25,L006,19.8,76,Problema mezcla
2024-02-02,2024-02-09,P033,7,15.6,H25,L006,19.8,76,Problema mezcla
2024-02-02,2024-03-01,P034,28,21.2,H25,L006,21.0,80,Rechazado
2024-02-02,2024-03-01,P035,28,20.8,H25,L006,21.0,80,Rechazado
2024-02-02,2024-03-01,P036,28,21.5,H25,L006,21.0,80,Rechazado
2024-02-05,2024-02-12,P037,7,21.7,H30,L007,23.5,86,Normal
2024-02-05,2024-02-12,P038,7,22.3,H30,L007,23.5,86,Normal
2024-02-05,2024-02-12,P039,7,21.4,H30,L007,23.5,86,Normal
2024-02-05,2024-03-04,P040,28,32.8,H30,L007,22.9,84,Normal
2024-02-05,2024-03-04,P041,28,33.2,H30,L007,22.9,84,Excelente
2024-02-05,2024-03-04,P042,28,32.5,H30,L007,22.9,84,Normal
2024-02-08,2024-02-15,P043,7,18.9,H25,L008,21.7,81,Normal
2024-02-08,2024-02-15,P044,7,19.4,H25,L008,21.7,81,Normal
2024-02-08,2024-02-15,P045,7,18.6,H25,L008,21.7,81,Normal
2024-02-08,2024-03-07,P046,28,25.3,H25,L008,21.3,80,Normal
2024-02-08,2024-03-07,P047,28,25.8,H25,L008,21.3,80,Normal
2024-02-08,2024-03-07,P048,28,25.0,H25,L008,21.3,80,Normal
